Rank,Lister,Artist,Album,# of lists,98
10,Dallas,Maple Glider,To Enjoy Is the Only Thing,,
1,Elaina,Leon Bridges,Gold-Diggers Sound,,
2,Elaina,Blu DeTiger,How Did We Get Here?,,
3,Elaina,Silk Sonic,An Evening With Silk Sonic,,
4,Elaina,KALEO,Surface Sounds,,
5,Elaina,Billie Eilish,Happier Than Ever,,
6,Elaina,The Band Camino,The Band Camino,,
7,Elaina,Lawrence,Hotel TV,,
8,Elaina,Grouplove,This Is This,,
9,Elaina,Arlo Parks,Collapsed in Sunbeams,,
10,Elaina,Fleece,Stunning & Atrocious,,
1,Elena,Jorja Smith,Be Right Back,,
2,Elena,James Blake,Friends That Break Your Heart,,
3,Elena,"Tyler, the Creator",Call Me If You Get Lost,,
4,Elena,Julien Baker,Little Oblivions,,
5,Elena,Vince Staples,Vince Staples,,
6,Elena,dodie,Build A Problem,,
7,Elena,JPEGMAFIA,LP!,,
8,Elena,Jazmine Sullivan,Heaux Tales,,
9,Elena,Mach-Hommy,Pray for Haiti,,
10,Elena,Doja Cat,Planet Her,,
1,Eric,Low,Hey What,,
2,Eric,The Armed,Ultrapop,,
3,Eric,Fucked Up,Year of the Horse,,
4,Eric,BIG|BRAVE,Vital,,
5,Eric,Genghis Tron,Dream Weapon,,
6,Eric,Dödsrit,Mortal Coil,,
7,Eric,Squid,Bright Green Field,,
8,Eric,L'Rain,Fatigue,,
9,Eric,JOHN (TIMESTWO),Nocturnal Manoeuvres,,
10,Eric,Converge & Chelsea Wolfe,Bloodmoon: I,,
1,Fraser,Japanese Breakfast,Jubilee,,
2,Fraser,Mannequin Pussy,Perfect,,
3,Fraser,Left At London,T.I.A.P.F.Y.H.,,
4,Fraser,Halsey,"If I Can't Have Love, I Want Power",,
5,Fraser,Lil Nas X,Montero,,
6,Fraser,Jazmine Sullivan,Heaux Tales,,
7,Fraser,Jetty Bones,Push Back,,
8,Fraser,Petey,Lean Into Life,,
9,Fraser,Slayyyter,Troubled Paradise,,
10,Fraser,The War on Drugs,I Don't Live Here Anymore,,
1,George,The Beths,"Auckland, New Zealand, 2020 (Live)",,
2,George,Japanese Breakfast,Jubilee,,
3,George,Snail Mail,Valentine,,
4,George,Lucy Dacus,Home Video,,
5,George,Sarah and the Sundays,The Living End,,
6,George,daysormay,Just Existing,,
7,George,Briston Maroney,Sunflower,,
8,George,Lunar Vacation,Inside Every Fig is a Dead Wasp,,
9,George,Arlo Parks,Collapsed in Sunbeams,,
10,George,Sun Seeker,A Sunrise in a Basement,,
1,Grace,Bo Burnham,Inside (The Songs),,
2,Grace,Kanye West,Donda,,
3,Grace,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,,
4,Grace,Hobo Johnson,The Revenge of Hobo Johnson,,
5,Grace,Silk Sonic,An Evening With Silk Sonic,,
6,Grace,Adele,30,,
7,Grace,Olivia Rodrigo,Sour,,
8,Grace,Dayglow,Harmony House,,
9,Grace,King Gizzard and the Lizard Wizards,Butterfly 3000,,
10,Grace,Doja Cat,Planet Her,,
1,Haley,Doja Cat,Planet Her,,
2,Haley,Olivia Rodrigo,Sour,,
3,Haley,Silk Sonic,An Evening With Silk Sonic,,
4,Haley,Said The Whale,Dandelion,,
5,Haley,Little Simz,Sometimes I Might Be Introvert,,
6,Haley,ABBA,Voyage,,
7,Haley,The 502s,Could It Get Better Than This,,
8,Haley,Tom Misch,Quarantine Sessions,,
9,Haley,Lorde,Solar Power,,
10,Haley,Sammy Rae & The Friends,Let's Throw a Party,,
1,Isabel E,Lorde,Solar Power,,
2,Isabel E,P.J. Harding & Noah Cyrus,People Don't Change,,
3,Isabel E,Doja Cat,Planet Her,,
4,Isabel E,Olivia Rodrigo,Sour,,
5,Isabel E,Billie Eilish,Happier Than Ever,,
6,Isabel E,Charlotte Cardin,Phoenix,,
7,Isabel E,Silk Sonic,An Evening With Silk Sonic,,
8,Isabel E,Willow,Lately I Feel Everything,,
9,Isabel E,Still Woozy,"If This Isn't Nice, I Don't Know What Is",,
10,Isabel E,Briston Maroney,Sunflower,,
1,Isabel W,Lil Nas X,Montero,,
2,Isabel W,Willow,Lately I Feel Everything,,
3,Isabel W,Lorde,Solar Power,,
4,Isabel W,Billie Eilish,Happier Than Ever,,
5,Isabel W,Blu DeTiger,How Did We Get Here?,,
6,Isabel W,girl in red,if i could make it go quiet,,
7,Isabel W,Jorja Smith,Be Right Back,,
